It’s the war god or patron of those who fight
It’s the favorite god of the ruling class
It’s the patron of an important profession
It’s a devil-figure that must be placated
It provides healing or protection from danger
It’s a patron of an illegal but inevitable trade
It hallows the law and consecrates oaths
It’s flatly illegal and hated by most
It’s the protector of an ethnic minority
It provides good harvests or human fertility
It’s the patron of the former rulers of the land
It guards particular places within the land
It provides wisdom and insight at need
It gives good luck to its petitioners
It’s a protector of the weak and humble
It empowers those seeking revenge for wrongs
It bestows material wealth upon petitioners
It protects the soul in the afterlife
It explains the creation and order of the world
It prevents some type of common disaster
